,Class,Email Raw Text
46,spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
47,ham,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. "
48,ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.
49,ham,U can call me now...
50,spam,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
51,ham,Wah lucky man... Then can save money... Hee...
52,ham,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh
53,ham,Speaking of does he have any cash yet?
54,spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
55,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
56,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
57,ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
58,spam,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
59,ham,K..k:)how much does it cost?
60,ham,What you thinked about me. First time you saw me in class.
61,ham,it's really getting me down just hanging around.
62,ham,Watching tv lor...
63,spam,"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply."
64,ham,I will spoil you in bed as well :)
65,ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
66,spam,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply
67,ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter
68,ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
69,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
70,ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
71,ham,Come by our room at some point so we can iron out the plan for this weekend
72,ham,Me n him so funny...
73,ham,U don't remember that old commercial?
74,ham,Tell them u have a headache and just want to use 1 hour of sick time.
75,ham,Oic... I saw him too but i tot he din c me... I found a group liao...
76,ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!
77,ham,I come n pick ü up... Come out immediately aft ur lesson...
78,ham,You made my day. Do have a great day too.
79,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
80,spam,Beerage?
81,ham,TaKe CaRE n gET WeLL sOOn
82,ham,"Sorry, I'll call later"
83,ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
84,spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
85,ham,Morning only i can ok.
86,ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run."
87,ham,Having lunch:)you are not in online?why?
88,ham,The evo. I just had to download flash. Jealous?
89,ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...
90,spam,Headin towards busetop
91,spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa"
92,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
93,ham,Why you Dint come with us.
94,spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
95,ham,Geeeee ... I love you so much I can barely stand it
96,ham,I think i've fixed it can you send a test message?
97,ham,LOL ... Have you made plans for new years?
98,ham,"K, I might come by tonight then if my class lets out early"
99,ham,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:if it is made by my students,this wont even start........ Datz confidence.."
100,ham,Thank you baby! I cant wait to taste the real thing...
101,ham,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.
102,spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
103,ham,Mmm so yummy babe ... Nice jolt to the suzy
104,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
105,ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
106,ham,Hi msg me:)i'm in office..
107,ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too
108,ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out
109,ham,Whatsup there. Dont u want to sleep
110,spam,Wishing you and your family Merry X mas and HAPPY NEW Year in advance..
111,ham,So when do you wanna gym harri
112,ham,No problem. How are you doing?
113,ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
114,ham,Got meh... When?
115,ham,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.
116,ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up"
117,ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
118,spam,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX
119,ham,Both :) i shoot big loads so get ready!
120,ham,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
121,ham,Ya srsly better than yi tho
122,ham,Any pain on urination any thing else?
123,ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
124,spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062."
125,ham,Yup having my lunch buffet now.. U eat already?
126,ham,"How long has it been since you screamed, princess?"
127,ham,Does she usually take fifteen fucking minutes to respond to a yes or no question
128,ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
129,ham,Ok. I asked for money how far
130,ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
131,ham,K:)k:)good:)study well.
132,ham,No he didn't. Spring is coming early yay!
133,ham,Then any special there?
134,ham,From here after The performance award is calculated every two month.not for current one month period..
135,ham,I only haf msn. It's yijue@hotmail.com
136,ham,"Ask g or iouri, I've told the story like ten times already"
137,ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
138,ham,Wait  &lt;#&gt;  min..
139,ham,But i have to. I like to have love and arrange.
140,ham,"sorry, no, have got few things to do. may be in pub later."
141,ham,What is important is that you prevent dehydration by giving her enough fluids
142,ham,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time..."
143,ham,my ex-wife was not able to have kids. Do you want kids one day?
144,spam,No calls..messages..missed calls
145,ham,Shall i come to get pickle
146,ham,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
147,spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
148,ham,All e best 4 ur driving tmr :-)
149,ham,Exactly. Anyways how far. Is jide her to study or just visiting
150,ham,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com"
151,ham,Its a part of checking IQ
152,ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
153,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
154,ham,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!
155,spam,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!"
156,ham,Oops. 4 got that bit.
157,ham,Sounds great! Are you home now?
158,spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
159,ham,Home so we can always chat
160,ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola"
161,spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
162,ham,"Good stuff, will do."
163,ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.
164,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
165,ham,Thanx 4 e brownie it's v nice...
166,spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
167,spam,Whats the staff name who is taking class for us?
168,spam,Alright i have a new goal now
169,ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
170,ham,Our Prashanthettan's mother passed away last night. pray for her and family.
171,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
172,ham,Thats cool. i am a gentleman and will treat you with dignity and respect.
173,ham,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated."
174,ham,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*
175,ham,"Yup, no need. I'll jus wait 4 e rain 2 stop."
176,ham,Dear we got  &lt;#&gt;  dollars hi hi
177,spam,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
178,ham,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!"
179,ham,ok. I am a gentleman and will treat you with dignity and respect.
180,ham,Can you say what happen
181,ham,Ranjith cal drpd Deeraj and deepak 5min hold
182,ham,Thanks for this hope you had a good day today
183,ham,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. "
184,ham,I have to take exam with march 3
185,ham,Cos i want it to be your thing
186,ham,I accidentally deleted the message. Resend please.
187,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
188,ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
189,ham,"Aight, you close by or still down around alex's place?"
190,ham,Dont worry. I guess he's busy.
191,ham,"That's very rude, you on campus?"
192,ham,Customer place i will call you.
193,ham,Oh is it? Send me the address
194,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
195,spam,"SMS. ac sun0819 posts HELLO:You seem cool, wanted to say hi. HI!!! Stop? Send STOP to 62468"
196,spam,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
197,ham,Well i know Z will take care of me. So no worries.
198,ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
199,ham,"Hurry up, I've been weed-deficient for like three days"
200,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
201,ham,Bring home some Wendy =D
202,ham,Si si. I think ill go make those oreo truffles.
203,ham,Ya very nice. . .be ready on thursday
204,spam,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p
205,ham,Mm that time you dont like fun
206,ham,I dled 3d its very imp
207,ham,S:)s.nervous  &lt;#&gt; :)
208,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
209,ham,Men like shorter ladies. Gaze up into his eyes.
210,ham,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.
211,ham,No..jst change tat only..
212,ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
213,ham,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
214,ham,O. Well uv causes mutations. Sunscreen is like essential thesedays
215,ham,Jos ask if u wana meet up?
216,spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT"
217,ham,Waiting for your call.
218,ham,Got it. Seventeen pounds for seven hundred ml – hope ok.
219,ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem
220,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
221,ham,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..
222,ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime
223,ham,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around"
224,ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
225,ham,Ok..
226,ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
227,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
228,ham,Yup... How ü noe leh...
229,ham,"Fair enough, anything going on?"
230,ham,Lol no. U can trust me.
231,ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
232,ham,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?"
233,ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
234,ham,Hi :)finally i completed the course:)
235,ham,Is xy going 4 e lunch?
236,ham,Pick you up bout 7.30ish? What time are  and that going?
237,ham,Going to take your babe out ?
238,ham,Ok. She'll be ok. I guess
239,ham,Hahaha..use your brain dear
240,ham,I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx
241,ham,"Wait, do you know if wesleys in town? I bet she does hella drugs!"
242,ham,Its not the same here. Still looking for a job. How much do Ta's earn there.
243,ham,Ok... Ur typical reply...
244,ham,I am waiting machan. Call me once you free.
245,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
246,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
247,ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
248,ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
249,ham,En chikku nange bakra msg kalstiya..then had tea/coffee?
250,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
251,ham,S:)no competition for him.
252,ham,U dun say so early hor... U c already then say...
253,ham,Stop the story. I've told him i've returned it and he's saying i should not re order it.
254,ham,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.
255,ham,No no. I will check all rooms befor activities
256,ham,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.
257,ham,Leave it de:-). Start Prepare for next:-)..
258,spam,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
259,ham,Lol your always so convincing.
260,ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)
261,ham,K:)k:)what are detail you want to transfer?acc no enough?
262,ham,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out"
263,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
264,ham,I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
265,ham,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:)
266,ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
267,ham,Ok I'm gonna head up to usf in like fifteen minutes
268,spam,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.
269,ham,Am not interested to do like that.
270,ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore
271,spam,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
272,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p
273,ham,Cool. So how come you havent been wined and dined before?
274,ham,Some of them told accenture is not confirm. Is it true.
275,ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
276,ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
277,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
278,ham,You still at grand prix?
279,ham,Then why no one talking to me
280,ham,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?
281,spam,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
282,ham,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
283,ham,Thanks for picking up the trash.
284,ham,I borrow ur bag ok.
285,ham,Haf u found him? I feel so stupid da v cam was working.
286,spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
287,spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
288,ham,BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & ILLSPEAK 2U SOONLOTS OF LOVEME XXXX.
289,ham,Anything lor... U decide...
290,ham,Meet after lunch la...
291,spam,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
292,ham,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
293,ham,"Ta-Daaaaa! I am home babe, are you still up ?"
294,ham,"I'm in a meeting, call me later at"
295,ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace."
296,ham,The wine is flowing and i'm i have nevering..
297,ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
298,spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
299,ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!
300,ham,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?"
301,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
302,ham,Gudnite....tc...practice going on
303,ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about the cave. I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
304,ham,Neva mind it's ok..
305,ham,Tell where you reached
306,ham,I plane to give on this month end.
307,ham,I place all ur points on e cultures module already.
308,ham,K tell me anything about you.
309,ham,Have you got Xmas radio times. If not i will get it now
310,ham,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
311,ham,"Cool, text me when you're ready"
312,ham,i see. When we finish we have loads of loans to pay
313,ham,When're you guys getting back? G said you were thinking about not staying for mcr
314,ham,K..i deleted my contact that why?
315,ham,Oh that was a forwarded message. I thought you send that to me
316,ham,"Sorry battery died, yeah I'm here"
317,ham,"Usf I guess, might as well take 1 car"
318,ham,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now
319,ham,Are you this much buzy
320,ham,Going for dinner.msg you after.
321,ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
322,spam,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
323,ham,Then mum's repent how?
324,ham,Too late. I said i have the website. I didn't i have or dont have the slippers
325,ham,Yes i will be there. Glad you made it.
326,ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
327,ham,Dear i have reache room
328,ham,"Maybe westshore or hyde park village, the place near my house?"
329,ham,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice
330,ham,I sent you  &lt;#&gt;  bucks
331,ham,Ok no prob. Take ur time.
332,ham,Just sleeping..and surfing
333,ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
334,ham,Ü log off 4 wat. It's sdryb8i
335,ham,"Sorry, I'll call later"
336,ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
337,ham,Ü wait 4 me in sch i finish ard 5..
338,spam,K..u also dont msg or reply to his msg..
339,ham,Umma my life and vava umma love you lot dear
340,spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
341,ham,"Dear, will call Tmorrow.pls accomodate."
342,ham,"Sorry that took so long, omw now"
343,ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
344,ham,How many licks does it take to get to the center of a tootsie pop?
345,spam,Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF
346,spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
347,ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
348,ham,"I am in tirupur da, once you started from office call me."
349,ham,I cant pick the phone right now. Pls send a message
350,ham,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havent sent u 1 in ages started driving so stay off roads!RVx
351,ham,I see the letter B on my car
