0_cx_img	1_cy_img	2_area_img	3_perim_img	4_hulls_img	5_cx_g1	6_cy_g1	7_area_g1	8_perim_g1	9_hulls_g1	10_cx_g2	11_cy_g2	12_area_g2	13_perim_g2	14_hulls_g2	15_cx_g3	16_cy_g3	17_area_g3	18_perim_g3	19_hulls_g3	20_cx_g4	21_cy_g4	22_area_g4	23_perim_g4	24_hulls_g4	25_class
919.0	472.5	86572.0833	943.4469	12	952.949	621.6173	3831.4515	195.1709	196	1005.4055	557.7244	2402.0236	152.7773	254	1096.7143	491.9643	2300.1339	234.8553	56	1031.3958	494.7917	556.6562	122.5488	48	D
464.4	333.75	15571.125	458.3998	20	433.0935	262.0093	3418.4486	241.3011	107	461.1048	392.3013	1020.8603	123.9605	229	513.1148	383.3443	686.0492	135.0786	61	539.5312	364.8125	421.6484	102.8018	64	D
540.0	506.6667	98284.6667	861.8809	15	779.1941	600.1857	3463.1561	174.4735	237	523.9958	573.6569	4515.6674	187.2529	239	646.783	596.9906	1302.1509	191.3033	106	672.1263	592.9053	483.0632	109.3054	95	D
761.6429	558.7143	81291.5357	882.0124	14	898.1796	606.3755	2699.3612	160.0877	245	698.5699	619.4301	4317.5777	168.2888	193	929.0	649.6629	1142.3427	187.0687	89	908.4429	645.3	521.0	115.1797	70	D
798.0667	490.2667	114718.4	850.2748	15	953.8061	606.1597	2951.0627	157.1981	263	690.6989	550.6394	2946.5576	159.7758	269	827.2727	592.4747	1315.9949	193.9787	99	938.6	561.0526	464.7263	108.0199	95	D
1260.7778	436.2222	73933.9167	752.0345	18	1119.0777	639.6554	2451.3649	151.8002	296	1036.1311	490.5655	3691.9195	167.8515	267	1232.8866	532.0103	1382.5773	192.6388	97	1201.7143	595.3636	450.5195	108.5435	77	D
637.4	510.8	49976.7	560.031	20	901.2451	640.2879	2358.3385	148.7297	257	814.801	469.7816	3797.551	172.6052	206	1006.1609	536.6207	973.0747	160.6898	87	938.2	525.5	475.7688	106.9743	80	D
928.2	533.1333	123770.0667	914.3058	15	1147.5742	755.8984	2825.6641	157.0457	256	948.481	599.654	4020.8713	176.6164	237	1059.381	626.3429	1077.5381	174.1734	105	1174.4607	628.7303	552.1629	119.9862	89	D
865.5294	402.2353	29439.2941	639.8015	17	831.1449	444.1449	4403.3732	255.84	138	888.7886	388.4732	1285.9799	120.0704	298	965.1667	367.7333	1539.825	197.0414	60	1004.5091	358.8	393.5545	99.0502	55	D
698.5714	285.7143	25853.1071	689.6818	14	722.07	276.84	4780.605	309.339	100	768.6049	370.3846	1071.3129	116.1	286	859.1216	366.5405	824.4595	155.3648	74	861.1449	287.6522	456.3841	105.7314	69	D
590.2	578.85	83046.375	599.4298	20	1012.0643	799.1222	2688.4453	159.2251	311	782.5015	669.7552	4433.206	175.5448	335	964.939	637.5366	1448.6098	198.573	82	1022.6379	664.2414	676.3276	133.1897	58	G
776.0455	669.9545	61698.4773	752.9517	22	994.6606	925.4465	3498.3777	171.9625	327	779.5512	753.978	2791.5549	156.5833	410	928.914	708.5376	1765.4194	220.2834	93	983.6567	679.209	494.0597	116.6454	67	G
904.3103	715.1379	20430.7586	484.6758	29	987.1739	1104.9209	3569.5277	218.2922	253	971.9191	922.2623	991.1124	118.733	507	944.6562	619.9219	1170.375	205.184	64	1132.0294	650.2059	770.3529	138.5544	34	G
1586.8158	1011.1579	11759.3947	347.4154	38	1396.5914	887.1628	3187.3073	183.86	301	1420.2546	982.5479	1453.3941	121.314	491	1202.5167	646.2667	1270.2333	204.683	60	1368.3	719.25	886.2625	148.4228	40	G
1726.4667	1026.9	44688.0667	591.4673	30	1819.4373	924.7467	3335.4053	168.4222	375	1542.811	997.1531	2432.3517	150.5028	418	1677.3418	1003.7595	2926.5886	270.7247	79	1733.6136	809.1364	714.8636	149.0894	44	G
954.2174	713.7391	57145.8913	611.584	23	1170.4839	716.9323	2612.1194	171.8273	310	968.3927	675.6586	2826.6299	145.0179	331	1201.449	623.5408	1241.9541	189.6952	98	1309.0	626.15	534.3417	115.8106	60	G
1105.4118	604.3529	69725.8235	711.8158	17	1277.5773	767.0172	2597.6306	178.5229	291	1040.0835	685.1899	2165.6152	149.5685	395	1202.7941	711.3137	835.7451	161.7492	102	1225.9322	679.1186	439.0593	102.5784	59	G
877.5625	726.375	190851.875	807.2137	16	1208.3375	855.9567	5328.1316	187.0911	323	1002.4817	866.2028	7047.2014	190.9634	355	957.3958	820.3438	2352.0938	251.0602	96	1123.378	818.0854	724.9878	137.0937	82	G
940.7917	741.75	50884.5417	648.2254	24	1225.5229	840.7309	2453.2936	177.9152	327	949.2091	695.4761	3739.7456	152.6319	397	1065.046	602.6897	1290.6724	174.443	87	1186.2632	592.1579	532.0965	118.5553	57	G
1650.4074	917.1481	38689.037	628.1549	27	1308.9118	971.0478	3577.7868	205.0788	272	1242.339	820.8902	2586.6805	137.8305	410	1324.2041	769.3163	2204.5918	227.0387	98	1266.4032	677.4839	737.4516	148.4767	62	G
930.9032	935.0	61804.2581	573.3212	31	1255.9029	1069.699	4406.9175	211.0636	309	1205.2348	838.8174	2426.9576	158.9391	460	1154.5146	725.0777	2224.0825	227.0779	103	1351.625	716.7321	639.4375	134.4088	56	G
1291.2857	871.5	22156.3036	522.0815	28	1323.3916	1137.5693	2849.3524	177.8886	332	940.5447	999.1868	1525.0895	133.9256	514	799.7246	684.6522	1445.4348	208.717	69	942.1622	680.2973	685.7568	135.6226	37	G
1002.9677	737.3871	23762.5806	578.6485	31	1332.1975	948.7524	3476.9561	181.5515	319	1103.7848	818.3668	2072.8186	151.8272	488	1082.2361	635.7083	1494.0278	218.5444	72	1205.8696	647.0	826.7935	157.8231	46	G
1217.7222	907.5556	178190.0	1041.7742	18	1295.0173	1107.6792	3717.8512	163.6144	346	1102.7708	922.6734	5553.4513	188.2649	349	1151.2	861.74	2596.125	256.5366	100	1266.6338	1012.6338	664.4577	127.9882	71	G
862.1667	1016.9667	22588.0167	523.6371	30	1100.5203	1015.4477	2672.7747	173.0762	344	1137.1083	1134.9826	1572.3124	133.3692	517	1076.3462	699.7051	1801.6987	223.6231	78	1202.2326	713.7674	698.7907	134.6234	43	G
1340.0	810.7	28611.6	482.3914	30	1420.6594	1128.9656	3276.7703	179.8417	320	1242.4784	1052.0948	1702.3319	145.7811	464	1315.6914	840.8642	1819.3025	210.6836	81	1332.4906	847.6038	513.6415	119.4808	53	G
1104.6471	798.7059	90989.3235	913.6521	17	1417.8194	1128.1178	3189.3927	171.3233	382	1025.7271	939.1435	2403.46	141.6692	425	1344.1325	835.0241	1719.0663	210.9151	83	1507.1429	822.2286	913.55	155.1602	70	G
1229.9032	864.3226	46844.9516	660.6743	31	1287.5285	984.2437	2949.6549	157.0056	439	1008.7435	724.1718	3843.6365	159.927	425	1094.5882	665.7765	2210.1118	220.03	85	1256.4118	641.0196	795.7647	156.312	51	G
800.4615	685.8846	19321.2885	470.0376	26	982.5291	982.2691	3992.861	216.3998	223	823.8049	863.3117	903.8161	114.3784	446	844.9833	696.55	1299.7333	191.951	60	1003.0769	769.1026	641.3205	136.8932	39	G
1002.1852	866.0	68024.6481	665.726	27	1146.0671	1061.5638	4141.9933	205.5716	298	869.8005	891.8929	3156.5316	146.7932	411	978.8947	763.0	3288.8895	279.8594	95	1206.1786	745.7321	618.7321	143.4795	56	G
802.7308	559.6154	22302.4423	501.2178	26	901.9941	627.8817	4340.4734	248.7457	169	815.6559	721.9355	1107.547	129.1347	372	868.3824	654.3971	1226.8971	188.3236	68	956.1111	720.2	428.7778	106.7778	45	G
1277.0	610.6842	72862.9211	791.2336	19	1351.4653	825.3194	3503.4757	183.0307	288	1254.5983	729.0815	3436.993	155.0864	356	1285.9167	637.4896	1643.9635	208.3369	96	1447.5556	742.1481	722.6111	150.0543	54	G
828.7241	530.6207	12358.0345	454.3109	29	1040.6082	700.1455	2322.1642	178.8628	268	804.1229	592.3829	2931.3571	147.2634	350	956.4462	516.1385	830.4615	160.5665	65	963.4889	525.5556	514.9222	119.1215	45	G
815.8333	812.375	51355.3958	660.5395	24	1200.1258	1102.7301	2788.2101	172.8345	326	1025.3589	924.4979	1580.6504	135.6078	482	1062.3059	648.7529	1126.3882	191.0046	85	1146.4737	706.0351	855.4649	146.9526	57	G
772.7586	1306.8276	65090.8966	583.8886	29	1017.5369	1280.2153	4063.2021	182.1844	339	957.4809	862.7129	3635.4952	153.5512	418	948.3375	866.575	3457.2812	271.7693	80	1182.3125	724.4583	804.8542	152.1331	48	G
1148.1579	656.2632	55132.4474	763.1545	19	1358.2156	894.9156	2552.7094	175.0774	320	1034.9158	796.8111	1624.2084	132.2761	487	1123.1169	673.7143	1369.4481	208.7877	77	1264.8148	750.8519	573.1389	121.1807	54	G
1344.0	1197.1081	37794.4865	549.0552	37	1557.2841	1415.1608	3221.228	153.9815	454	1280.6023	1009.6	3987.617	164.2996	440	1136.0845	871.7746	2632.7746	244.4922	71	1237.1207	857.569	1466.7931	184.1932	58	G
1185.7	694.0	33914.775	686.2107	20	1356.0189	1160.2965	2874.4669	176.0436	317	1204.1823	981.1977	1592.5307	133.6569	521	1076.8333	636.2407	1517.8519	226.444	54	1360.7333	729.0667	1481.1333	170.5614	45	G
1171.7391	528.2609	38488.1739	524.2899	23	1276.5094	706.7938	2262.2	147.5646	320	1154.5648	612.9352	4029.3997	167.8016	324	1259.0575	611.6782	1074.5747	180.4402	87	1384.7708	662.8125	478.7292	114.3808	48	G
1014.5909	592.3636	108934.9545	687.35	22	1122.3096	839.3127	4308.9644	179.8165	323	1034.6948	806.1935	4112.7044	166.4122	367	1016.5495	806.2747	1856.7857	215.4556	91	1191.7797	816.9661	707.0339	135.0801	59	G
837.6842	713.6316	68309.7368	837.2228	19	949.7311	837.2918	3956.518	193.0968	305	871.7964	785.2938	2801.0258	154.5611	388	1010.8889	711.4747	1259.1414	189.0209	99	1047.1186	783.9153	464.6441	109.8282	59	G
1343.381	626.0952	34379.1429	660.2645	21	1421.0942	797.5228	1987.0304	139.986	329	1315.4271	612.1254	3230.9729	188.0729	295	1349.5479	565.9178	1110.137	191.6688	73	1445.0784	543.6471	534.8039	118.1868	51	G
909.3929	1050.1071	58036.5714	591.1684	28	1427.0594	1280.3465	2806.5755	163.3059	404	1195.973	1098.3198	1694.9075	131.1052	519	1079.3253	937.2892	1775.5482	207.2826	83	1219.6415	812.3774	886.0377	147.8901	53	G
1107.1515	975.2727	52193.8636	544.3388	33	1198.8784	987.2622	2998.7824	151.3627	370	1066.719	859.7553	6247.7583	179.1006	331	1011.1375	798.4125	2067.2063	253.7893	80	1223.5714	845.9464	579.9018	128.6949	56	G
1055.25	654.65	65879.675	643.2885	20	1141.5497	953.8113	2631.2169	170.5038	302	984.4209	759.1215	3306.9506	161.2628	354	1182.3776	773.5	1401.8469	200.3842	98	1180.3538	745.3538	443.7769	104.3634	65	G
1072.5	637.1	103453.45	848.1743	20	1049.2263	807.2294	4070.4587	165.3002	327	998.5146	821.6456	3492.6468	166.6333	412	960.125	753.2614	2662.4205	246.0806	88	1064.8382	847.2941	492.6103	113.5841	68	G
1061.9333	702.6	140679.0333	768.7679	15	1195.4824	907.2364	3437.9984	168.472	313	1059.9072	884.2414	3644.1379	159.1034	377	1088.973	818.5676	1635.6486	231.0674	74	1096.8143	734.2571	525.4214	119.8539	70	G
1275.12	1442.76	135089.72	865.338	25	1592.6464	1771.9578	3445.2731	176.2993	379	1213.8264	1130.5526	6851.1027	167.4044	409	1415.0252	1459.6218	3833.5798	253.7505	119	1479.0317	1253.4444	850.8095	155.9242	63	G
1021.6818	753.6364	119957.8409	754.0654	22	1312.6066	1004.3393	3841.6411	172.3572	333	1001.489	857.1346	5452.0838	168.2043	364	992.51	847.09	1784.705	213.9532	100	1125.5469	879.6094	595.8438	132.5711	64	G
995.5333	979.1778	5886.4667	341.4188	45	1309.3165	1077.271	1773.3753	158.381	417	865.477	984.5972	2194.2645	135.5339	499	865.25	699.9167	1365.125	197.2414	72	1072.9024	620.8049	645.2805	133.2147	41	G
1350.3488	1086.7209	22227.3605	466.2592	43	1511.5073	1053.3586	5071.1822	203.6294	343	1167.6857	925.78	2646.0118	132.7859	509	1326.1429	811.7976	3128.2857	284.531	84	1553.0588	813.3137	793.9412	142.9646	51	G
1092.0769	639.1538	76369.0962	565.2192	26	1337.8468	767.2372	2437.1862	164.9978	333	1163.1871	648.7362	4305.8221	163.9548	326	1456.6577	680.5676	995.9459	175.5753	111	1407.9855	675.087	517.7826	117.4007	69	G
803.9375	504.875	91471.125	866.5451	16	940.1053	699.9514	4496.8684	191.2086	247	872.4225	642.9859	2914.6268	158.8432	355	845.4023	555.6322	2175.3448	248.911	87	987.4314	648.6667	462.8922	108.7378	51	G
942.8636	923.0	75915.5909	758.9851	22	1323.2766	1128.2376	5199.7961	194.9318	282	937.3591	867.4913	2589.01	147.3574	401	1089.0741	800.4074	2414.7407	233.0737	81	1123.1818	808.3273	598.4545	131.1119	55	G
939.25	1307.2	72044.675	1006.3002	20	876.5312	1230.4062	5139.7969	198.934	288	943.173	1078.8744	2499.3436	149.511	422	892.2647	1000.4706	5740.2353	372.9448	68	1044.1395	1046.7907	879.4767	161.7222	43	G
809.0588	586.8235	107861.0588	822.9481	17	1124.0504	783.5698	4110.2132	183.5793	258	952.9886	719.2614	3316.2216	156.854	352	1039.1951	671.2073	2002.8171	224.0499	82	1140.2857	716.9206	678.3968	130.8703	63	G
899.2941	636.3529	116080.4118	873.8235	17	1442.6993	950.0699	3684.5857	185.4689	286	1092.7345	945.3299	2483.1714	144.5042	388	1092.55	700.8375	2624.4688	254.9686	80	1257.2449	821.9796	613.7959	127.4989	49	G
937.7143	730.5714	54383.5238	626.6351	21	1020.1645	770.1472	4503.7489	181.4491	231	900.1382	799.8765	2077.3441	154.8125	340	911.0649	707.3377	1973.4675	222.7567	77	943.5116	725.3488	487.3256	112.7573	43	G
1316.6	1157.025	31031.6625	523.6437	40	1277.8158	1044.1722	3405.3457	157.3701	418	1167.6	915.8275	7298.9725	176.6796	400	1115.0494	835.2963	2730.9444	265.1873	81	1390.9583	1028.9375	686.7188	145.9512	48	G
741.1714	855.4	36863.7429	512.5371	35	1066.3926	1191.3289	3118.8992	160.5755	377	665.1556	873.4745	5212.3559	153.2762	392	797.5875	713.775	2882.65	257.8092	80	901.8983	743.7119	827.2881	156.1453	59	G
1052.9286	794.25	57493.0	560.8977	28	1301.6549	1065.1087	2851.4443	160.9855	368	1081.281	804.1708	5882.2273	181.784	363	1099.8684	738.3289	1589.9408	203.9518	76	1222.451	772.098	626.7745	125.1439	51	G
1082.9545	938.5455	134585.1591	720.0828	22	1192.5215	1027.1452	4060.7624	190.0835	303	1019.7173	893.9443	3687.0428	148.9614	467	1107.4261	820.1739	2252.6435	232.8715	115	1293.1125	818.2875	505.9125	118.8664	80	G
1041.6522	652.3043	50985.0217	758.0435	23	1277.5183	1056.2761	2817.9338	157.5083	355	991.1067	766.8267	3708.8613	165.3907	375	1122.6622	788.5	1577.8176	208.8581	74	1074.1064	640.5957	709.4043	135.8466	47	G
1080.8095	829.8095	22018.2143	623.0498	21	1382.6391	994.0562	2363.8964	151.8621	338	969.0678	879.5064	2343.4227	136.0183	472	907.3151	662.0685	1062.2808	186.3856	73	1081.1111	627.4444	1057.2333	144.2945	45	G
685.5	491.4583	51563.8125	607.5177	24	849.8137	654.5637	5202.0245	236.137	204	886.3333	638.3844	1725.8683	133.2401	372	919.9718	550.4789	2688.169	262.082	71	1037.0682	565.1364	525.9545	118.4271	44	G
1222.7429	804.9714	20463.5286	469.7874	35	1228.5977	972.9708	2662.5583	179.4899	343	1009.5857	818.2895	2445.9944	147.3309	449	1177.7317	689.939	1297.6707	203.0355	82	1269.1522	752.5217	525.0978	109.3405	46	G
1066.1786	816.3929	50024.6607	627.7917	28	1440.7251	1314.4343	7283.3865	219.1121	251	1030.4353	945.191	1813.0811	132.4182	487	998.1889	722.2778	3178.2722	272.9389	90	1065.0923	766.4462	536.6923	120.3138	65	G
1208.7391	1063.7826	46903.6304	631.5415	23	1177.126	1145.5906	4378.3524	205.4655	254	1291.9722	1018.2608	1721.0646	143.7423	395	1186.2353	608.0294	1858.5662	212.4366	68	1443.4474	736.2632	925.0658	164.0874	38	G
997.4545	725.6818	37855.3864	722.5265	22	1363.7134	987.557	3833.3518	183.7052	307	1061.1609	901.6391	2623.3804	146.9455	460	1054.7045	655.9205	1281.733	204.7952	88	1341.7843	703.7059	669.0784	137.2823	51	G
842.6364	542.0455	108062.4318	667.8433	22	1097.529	707.5419	3053.8452	175.7978	310	1004.6345	746.5796	3167.0209	137.1009	383	1180.2444	698.2778	1479.0167	213.2352	90	1286.803	764.1364	453.3939	107.6562	66	G
746.1	689.2	110160.275	688.9027	20	821.0712	907.8803	5444.1117	187.5826	309	807.3276	801.4416	3870.1724	162.309	351	776.25	715.6739	2710.3478	236.0826	92	845.9683	699.5238	888.1508	143.4677	63	G
978.4706	791.6471	130192.2059	1048.0863	17	1176.5992	890.9365	6181.5	224.0138	252	1137.0823	979.1017	2283.3668	146.3575	413	1122.9326	862.427	3843.9438	255.2326	89	1244.3636	782.4242	652.6591	133.6374	66	G
968.9091	524.5455	72609.1591	666.9313	22	1225.1159	786.658	2262.6696	156.2155	345	1111.8607	639.9025	4124.1212	156.8428	359	1182.631	678.0238	1297.0774	183.4117	84	1308.1786	670.1429	554.3214	119.928	56	G
1161.4348	881.3043	80582.7609	892.4551	23	1420.7321	1439.8445	3082.3517	151.9689	418	1323.3613	832.0127	4899.1438	168.4242	393	1319.0103	1009.3505	2053.7732	231.6778	97	1331.16	1031.2667	808.28	142.65	75	G
1183.6129	879.8065	32830.629	547.3877	31	1295.1125	1181.2969	4648.8344	168.5607	320	1021.0178	903.7487	2867.802	148.8729	394	923.7179	696.0641	2209.9551	238.4755	78	1089.4151	724.4151	753.4151	144.9821	53	G
1069.44	620.36	80823.84	626.6749	25	1192.2446	751.9164	3125.082	161.1835	323	1036.3603	729.7441	4942.6919	173.5335	297	1132.5312	698.6771	1624.4323	219.5985	96	1241.8088	778.8235	495.2426	117.4611	68	G
1259.4815	935.3704	26544.7963	635.4475	27	988.1289	1070.1709	2877.6611	164.9322	357	1125.8066	979.659	3015.9835	153.3542	393	1097.0988	752.679	2317.4938	269.2044	81	1368.1136	690.2273	489.6023	118.3213	44	G
1187.3548	811.2258	43233.1452	605.7842	31	1334.7801	998.8414	2881.7148	174.533	391	1043.9766	715.9743	4563.9206	154.9556	428	1263.0112	765.7865	3420.6854	264.3162	89	1281.8039	744.7647	620.1471	127.6353	51	G
822.3043	569.4783	80741.0217	684.8883	23	929.3976	953.1498	3527.659	181.0108	327	853.5448	721.8329	2704.6029	148.6463	413	950.1684	678.4526	1561.9	195.9332	95	946.9808	753.25	677.2885	137.1372	52	G
926.125	647.125	102744.75	858.7656	16	1246.8343	949.177	2966.6208	148.7451	356	902.9745	760.8924	3291.5085	154.682	353	1033.2788	697.0865	1312.726	183.503	104	1194.5156	741.4688	583.0547	128.4375	64	G
964.5625	562.875	110229.5	839.7809	16	1181.7666	796.338	3813.6899	169.5465	287	1045.2075	732.3585	4329.3145	182.0272	318	1100.2088	760.2857	1611.967	220.6111	91	1192.1277	747.0	602.5	127.1373	47	G
1038.7727	671.3182	32095.3636	575.8563	22	1217.8457	954.1886	2709.2457	170.0972	350	1021.735	870.7028	1758.5081	144.4003	434	910.1967	665.6066	1943.5164	246.3921	61	1234.0	705.475	623.475	131.8548	40	G
849.6818	1084.1818	49521.1136	638.5631	22	904.0607	1049.425	4390.2607	187.8568	280	952.0602	753.5157	2866.538	153.5543	382	879.5068	571.2603	2881.1233	275.5355	73	1012.1951	703.561	590.2439	132.5181	41	G
1015.64	668.64	20422.26	611.2489	25	1114.0645	885.379	3477.5625	191.0496	248	1021.5548	686.4286	2214.7905	149.4952	420	1056.1646	689.519	1573.3544	195.555	79	1112.8372	652.6279	517.6395	119.8712	43	G
974.4762	591.8571	93891.8571	611.4096	21	1157.2243	778.4611	3196.6355	162.022	321	1014.9058	655.0699	3665.5638	152.8102	329	1182.0	596.5914	1590.172	206.3326	93	1345.8125	648.0781	552.0859	123.1966	64	G
936.7568	535.1351	7315.7973	335.953	37	1037.9343	690.8166	2356.801	178.16	289	913.3166	695.6887	1528.4947	135.1184	379	988.08	544.7067	861.7867	172.1484	75	1132.0323	639.3548	399.7903	100.6041	31	G
969.84	797.28	39657.76	647.0042	25	1025.8967	704.3146	5557.1925	237.3691	213	860.8401	809.9642	1629.6635	135.4047	419	912.6154	647.8352	1560.5879	222.208	91	1009.7069	718.8793	567.9914	124.6777	58	G
770.3548	768.6774	48434.1613	503.9105	31	1002.4701	915.7156	3686.1901	176.3366	334	828.8073	725.4413	3688.4567	158.4853	358	1092.52	764.17	1335.825	204.8526	100	1210.5833	814.3833	739.05	139.6364	60	G
662.6	526.3	68768.9	745.4989	20	770.9868	699.2105	5298.9825	226.3656	228	751.6624	713.3299	1975.2371	136.4361	388	780.2763	551.8289	2777.8026	271.4705	76	934.9	600.7	875.39	149.5742	50	G
837.5882	573.9412	113676.2353	836.964	17	1318.1693	751.6535	4141.2953	205.3341	254	909.3368	807.7176	2268.0466	149.7016	386	1116.5	712.1512	1872.3721	220.2798	86	1227.5	717.6452	707.121	141.4287	62	G
780.3529	1005.8824	32292.7647	484.1641	34	1126.6254	925.7663	4166.7371	205.857	291	1134.1319	917.7055	1991.7857	137.2332	455	1000.7949	809.8333	1688.6667	213.8801	78	1172.4035	722.6316	607.4211	136.7633	57	G
1099.55	529.625	13280.325	379.9618	40	947.5866	624.9488	2877.5118	187.7168	254	838.3067	589.5147	1942.0493	143.9905	375	1077.0132	518.3158	905.5461	167.0664	76	1120.5833	545.8167	424.9667	102.6114	60	G
991.7407	670.3333	27132.4074	615.4028	27	1206.7915	801.3787	5252.8553	211.0431	235	1015.407	760.1105	2195.5876	157.8767	371	999.6296	640.4568	2292.9259	250.4252	81	1051.7955	620.9773	627.6023	128.8987	44	G
1005.9459	845.027	33241.973	475.2227	37	1147.6017	811.7744	2989.7674	162.5778	359	894.341	773.9608	3014.3652	141.9741	434	1036.0513	723.6923	1153.5641	196.2453	78	1146.0	773.1556	620.5111	127.7969	45	G
736.0769	703.1154	25635.7692	550.8468	26	917.7567	809.4183	3887.6578	197.4909	263	952.8488	832.4063	1321.3928	128.4677	443	893.8571	622.3	1381.4929	190.1946	70	878.5957	631.8511	758.0213	146.2624	47	G
1821.5946	1170.2703	48148.7703	674.4326	37	1973.3457	1328.3157	2571.1349	149.6761	567	1906.2901	1120.1644	4189.5532	190.3277	517	2035.2283	1044.622	2546.7559	282.055	127	2172.475	1166.975	602.7062	127.2815	80	F
936.1538	797.1538	115525.5	1060.0514	13	1250.0868	875.4373	3238.2749	179.1984	311	983.02	743.5133	2967.7867	187.9119	300	1051.4904	743.0385	2467.9087	303.8577	104	1068.9615	748.1538	457.6058	107.9099	52	F
656.2258	1088.7742	21980.6935	381.6686	31	742.624	1099.8056	1488.0269	128.1412	391	750.0	859.8374	3968.4167	180.4565	246	841.7875	963.825	1926.4375	259.0504	80	898.2703	1070.8378	592.3649	123.3137	37	F
994.8333	676.119	2324.869	200.7925	42	866.3705	712.5179	1637.0513	168.8943	224	933.7962	736.2382	1097.0078	132.6039	319	1072.0933	690.1067	822.3	167.5853	75	1117.0476	740.119	435.4524	103.2579	42	F
1199.1515	656.4242	3909.697	271.9206	33	1152.4796	758.1131	2123.2738	176.9608	221	978.6264	781.8104	984.1676	124.0369	364	1152.0789	692.5658	873.4605	174.8989	76	1199.8438	722.2188	406.875	104.9446	32	F
1187.8919	837.9459	1144.5541	170.7634	37	1221.2816	851.7388	1724.4204	159.5699	245	1343.1374	962.1278	750.401	123.1133	313	1165.6857	815.9143	731.5429	131.9794	35	1193.7879	852.1515	464.7727	120.8198	33	F
1311.3043	917.6522	112234.5	948.7537	23	1727.8492	1129.7749	2077.3527	148.1888	431	1287.5524	882.2413	5340.6286	218.3754	315	1559.6579	907.4649	1784.1623	250.9381	114	1610.1714	952.2	546.7857	110.05	70	F
902.2121	889.8182	13594.5909	468.9605	33	958.1552	953.2239	2439.9343	174.8634	335	935.1629	1061.0276	1762.5789	146.3427	399	927.8421	777.7368	2703.5053	280.958	95	933.7	808.025	476.2125	112.536	40	F
1090.3704	617.2222	19100.3704	461.8463	27	951.2928	611.5589	2740.5932	181.0382	263	877.8857	669.5	1909.1129	150.8935	350	938.0247	615.8148	1673.216	229.3177	81	1014.1569	672.7843	741.1373	137.9475	51	F
1001.3333	712.8095	42491.8333	594.4326	21	875.0896	687.959	1892.5299	149.1492	268	1101.6606	761.5688	3640.1606	178.7622	218	1135.5244	780.2561	943.3659	166.4185	82	1126.5167	783.4333	506.7333	108.8013	60	F
1470.2083	835.7083	22988.6562	403.2818	48	1520.1978	961.2821	1670.2299	135.579	546	1443.9335	830.5231	4675.9523	214.2553	346	1625.1979	757.75	2310.4375	283.0918	96	1661.069	832.4828	588.7845	126.5993	58	F
